date,symbols,summary
2025-01-03,COIN,"Coinbase Global (COIN) is seeing significant options activity, with 20 extraordinary trades detected, including 11 puts totaling $1,331,787 and 9 calls totaling $703,775. Investors are targeting a price range of $150.0 to $370.0 over the next three months. COIN is currently trading at $259.79, up 1.0%. Three analysts recently rated the stock with an average target price of $350.0: Barclays (Equal-Weight, $355 target), Keefe, Bruyette & Woods (Market Perform, $275 target), and Needham (Buy, $420 target). The next earnings report is scheduled in 41 days."
2025-01-03,COIN,"Cryptocurrencies rose on Thursday, with Bitcoin at $96,841.51 (+2.06%), Ethereum at $3,450.93 (+1.93%), and Dogecoin at $0.3381 (+0.77%). Coinbase Global (COIN) shares closed 3.59% higher. Market sentiment is driven by expectations of a 'golden era' for crypto under the incoming Trump administration. Analyst Rekt Capital projects the Bitcoin bull market will peak in 2025, followed by a bear market in 2026, while CryptoQuant suggests the current phase is a cooling-off period within an intact bull market."
2025-01-04,COIN,"Bitcoin celebrated its 16th anniversary on Jan. 3, 2025, marking 16 years since Satoshi Nakamoto mined the genesis block. Key facts include the first purchase of two pizzas for 10,000 BTC on May 22, 2010; the release of the Bitcoin white paper on Oct. 31, 2008; and the 21 million supply limit, with nearly 20 million mined. Bitcoin hit an all-time high in 2021 and surpassed $100,000 in late 2024. Coinbase Global Inc. was founded by Brian Armstrong after reading the Bitcoin white paper. Major events include the 2021 El Salvador adoption, the 2024 approval of Bitcoin ETFs, and the 2024 U.S. presidential election where candidates accepted crypto donations."
2025-01-04,COIN,"Coinbase Global (COIN) was the 16th most-searched ticker on Benzinga Pro in 2024. The overall surge in Bitcoin prices in 2024, particularly in the second half of the year, contributed to increased interest in crypto-related stocks including Coinbase, MARA Holdings, and MicroStrategy."
2025-01-06,COIN,Coinbase Global (COIN) shares rose 8% to $291.92 during Monday's trading session as part of a broader market rally.
2025-01-07,COIN,"On Monday, January 6, 2025, Cathie Wood's Ark Invest sold 3,769 shares of Coinbase Global Inc. (COIN) from its ARKF fund, a transaction valued at approximately $1.08 million."
2025-01-07,COIN,"Bitcoin spot ETFs saw $987 million in net inflows on January 6, with Fidelity and BlackRock leading. Analysts at QCP Capital noted that Bitcoin's spot price premium on Coinbase (COIN) suggests increased institutional allocation for 2025, though they warned of potential market volatility due to the U.S. Treasury debt ceiling deadline in mid-January."
2025-01-07,COIN,"Piper Sandler Maintains Neutral on Coinbase Glb, Raises Price Target to $285"
2025-01-07,COIN,"Piper Sandler analyst Patrick Moley maintained a Neutral rating on Coinbase Global, Inc. (COIN) while increasing the price target from $245 to $285. Coinbase shares closed at $287.76 on the preceding Monday."
2025-01-07,COIN,"President-elect Donald Trump's SEC nominee, Paul Atkins, is known for a lighter regulatory approach and skepticism toward corporate penalties. If confirmed, his leadership could shift the SEC away from the aggressive enforcement stance of current Chair Gary Gensler, potentially benefiting major corporations like Coinbase Global Inc. (COIN) that have faced recent scrutiny."
